condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1850,1,26.78,0.0,441,109,-1.54
interleaved,1850,2,26.78,0.0,359,100,-1.52
interleaved,1850,3,26.78,0.0,416,100,-1.58
interleaved,1850,4,26.78,0.0,333,100,-1.53
interleaved,1850,5,26.78,0.0,325,102,-1.53
interleaved,1850,6,26.78,0.0,376,111,-1.56
interleaved,1850,7,0.0,0.0,383,92,-1.52
interleaved,1850,8,0.0,0.0,300,100,-1.56
interleaved,1850,9,26.78,0.0,300,108,-1.55
interleaved,1850,10,0.0,0.0,266,108,-1.53
interleaved,1850,11,26.78,0.0,350,117,-1.56
interleaved,1850,12,26.78,0.0,257,124,-1.48
interleaved,1850,13,0.0,0.0,300,100,-1.57
interleaved,1850,14,26.78,0.0,358,100,-1.54
interleaved,1850,15,0.0,0.0,290,95,-1.56
interleaved,1850,16,0.0,0.0,339,96,-1.63
interleaved,1850,17,26.78,0.0,108,125,-1.54
interleaved,1850,18,0.0,0.0,323,92,-1.57
interleaved,1850,19,26.78,0.0,215,117,-1.49
interleaved,1850,20,0.0,0.0,300,116,-1.56
interleaved,1850,21,0.0,0.0,229,113,-1.56
interleaved,1850,22,0.0,0.0,200,125,-1.59
interleaved,1850,23,0.0,0.0,291,109,-1.55
interleaved,1850,24,26.78,0.0,350,91,-1.58
interleaved,1850,25,0.0,0.0,533,93,-1.54
interleaved,1850,26,26.78,0.0,391,92,-1.54
interleaved,1850,27,0.0,0.0,341,100,-1.54
interleaved,1850,28,26.78,0.0,275,109,-1.52
interleaved,1850,29,26.78,0.0,317,116,-1.55
