condition,subject,trial,su,rotation,rt,mt,ep
blocked,41,1,26.78,0.0,967,183,-1.71
blocked,41,2,0.0,0.0,467,150,-1.57
blocked,41,3,0.0,0.0,433,124,-1.54
blocked,41,4,26.78,0.0,434,116,-1.55
blocked,41,5,0.0,0.0,468,174,-1.65
blocked,41,6,0.0,0.0,459,100,-1.56
blocked,41,7,26.78,0.0,325,124,-1.62
blocked,41,8,0.0,0.0,333,100,-1.68
blocked,41,9,0.0,0.0,425,108,-1.61
blocked,41,10,26.78,0.0,300,108,-1.61
blocked,41,11,0.0,0.0,384,108,-1.65
blocked,41,12,0.0,0.0,366,100,-1.67
blocked,41,13,26.78,0.0,416,108,-1.53
blocked,41,14,0.0,0.0,301,108,-1.57
blocked,41,15,0.0,0.0,258,108,-1.64
blocked,41,16,0.0,0.0,392,100,-1.6
blocked,41,17,26.78,0.0,591,100,-1.51
blocked,41,18,0.0,0.0,316,100,-1.59
blocked,41,19,26.78,0.0,367,100,-1.67
blocked,41,20,26.78,0.0,483,91,-1.54
blocked,41,21,26.78,0.0,492,91,-1.59
blocked,41,22,0.0,0.0,563,96,-1.61
blocked,41,23,0.0,0.0,317,83,-1.61
blocked,41,24,0.0,0.0,428,74,-1.68
blocked,41,25,26.78,0.0,366,92,-1.57
blocked,41,26,0.0,0.0,350,125,-1.67
blocked,41,27,0.0,0.0,641,83,-1.56
blocked,41,28,26.78,0.0,569,83,-1.62
blocked,41,29,0.0,0.0,600,79,-1.58
blocked,41,30,26.78,0.26,442,83,-1.86
blocked,41,31,26.78,0.26,383,75,-1.89
blocked,41,32,26.78,0.26,442,75,-2.11
blocked,41,33,26.78,0.26,708,75,-2.36
blocked,41,34,26.78,0.26,565,76,-2.62
blocked,41,35,26.78,0.26,1025,92,-2.79
blocked,41,36,26.78,0.26,543,74,-1.95
blocked,41,37,26.78,0.26,600,75,-1.98
blocked,41,38,26.78,0.26,900,100,-2.11
blocked,41,39,26.78,0.26,916,100,-2.18
blocked,41,40,26.78,0.26,874,84,-2.1
blocked,41,41,26.78,0.26,640,91,-2.28
blocked,41,42,26.78,0.26,500,183,-2.33
blocked,41,43,26.78,0.26,700,133,-2.68
blocked,41,44,26.78,0.26,591,126,-1.97
blocked,41,45,26.78,0.26,617,109,-1.99
blocked,41,46,26.78,0.26,517,109,-1.85
blocked,41,47,26.78,0.26,451,108,-1.97
blocked,41,48,26.78,0.26,723,114,-2.08
blocked,41,49,26.78,0.26,491,109,-2.09
blocked,41,50,26.78,0.26,558,125,-2.08
blocked,41,51,26.78,0.26,575,134,-2.1
blocked,41,52,26.78,0.26,608,109,-2.14
blocked,41,53,26.78,0.26,708,145,-2.08
blocked,41,54,26.78,0.26,683,151,-2.21
blocked,41,55,26.78,0.26,766,123,-2.04
blocked,41,56,26.78,0.26,575,99,-2.11
blocked,41,57,26.78,0.26,626,108,-2.15
blocked,41,58,26.78,0.26,434,100,-2.01
blocked,41,59,26.78,0.26,475,101,-2.13
blocked,41,60,26.78,0.26,426,116,-2.09
blocked,41,61,26.78,0.26,476,116,-2.11
blocked,41,62,26.78,0.26,633,108,-2.02
blocked,41,63,26.78,0.26,500,109,-2.09
blocked,41,64,26.78,0.26,542,117,-2.19
blocked,41,65,26.78,0.26,750,109,-2.16
blocked,41,66,26.78,0.26,306,102,-2.08
blocked,41,67,26.78,0.26,442,108,-2.18
blocked,41,68,26.78,0.26,541,109,-2.07
blocked,41,69,26.78,0.26,767,144,-2.13
blocked,41,70,26.78,0.26,567,109,-2.1
blocked,41,71,26.78,0.26,609,116,-2.06
blocked,41,72,26.78,0.26,525,117,-2.04
blocked,41,73,26.78,0.26,500,117,-2.2
blocked,41,74,26.78,0.26,658,125,-2.23
blocked,41,75,26.78,0.26,908,126,-2.23
blocked,41,76,26.78,0.26,1150,133,-2.23
blocked,41,77,26.78,0.26,817,142,-2.17
blocked,41,78,26.78,0.26,417,133,-2.14
blocked,41,79,26.78,0.26,526,133,-2.21
blocked,41,80,26.78,0.26,627,123,-2.24
blocked,41,81,26.78,0.26,350,109,-2.18
blocked,41,82,26.78,0.26,516,125,-2.41
blocked,41,83,26.78,0.26,516,117,-2.34
blocked,41,84,26.78,0.26,399,108,-2.28
blocked,41,85,26.78,0.26,625,109,-2.27
blocked,41,86,26.78,0.26,625,108,-2.23
blocked,41,87,26.78,0.26,491,133,-2.22
blocked,41,88,26.78,0.26,491,117,-2.21
blocked,41,89,26.78,0.26,542,116,-2.23
blocked,41,90,26.78,0.26,442,117,-2.3
blocked,41,91,26.78,0.26,534,116,-2.21
blocked,41,92,26.78,0.26,767,125,-2.26
blocked,41,93,26.78,0.26,442,117,-2.16
blocked,41,94,26.78,0.26,392,158,-2.16
blocked,41,95,26.78,0.26,517,117,-2.28
blocked,41,96,26.78,0.26,442,119,-2.24
blocked,41,97,26.78,0.26,566,110,-2.24
blocked,41,98,26.78,0.26,709,117,-2.09
blocked,41,99,26.78,0.26,400,118,-2.11
blocked,41,100,26.78,0.26,791,109,-2.17
blocked,41,101,26.78,0.26,534,116,-2.24
blocked,41,102,26.78,0.26,359,108,-2.13
blocked,41,103,26.78,0.26,359,100,-2.16
blocked,41,104,26.78,0.26,376,108,-2.37
blocked,41,105,26.78,0.26,350,125,-2.17
blocked,41,106,26.78,0.26,434,117,-2.25
blocked,41,107,26.78,0.26,367,125,-2.3
blocked,41,108,26.78,0.26,400,108,-2.14
blocked,41,109,26.78,0.26,508,134,-2.22
blocked,41,110,26.78,0.26,391,150,-2.18
blocked,41,111,26.78,0.26,484,133,-2.2
blocked,41,112,26.78,0.26,358,117,-2.16
blocked,41,113,26.78,0.26,409,116,-2.16
blocked,41,114,26.78,0.26,475,117,-2.28
blocked,41,115,26.78,0.26,508,109,-2.2
blocked,41,116,26.78,0.26,417,125,-2.14
blocked,41,117,26.78,0.26,567,108,-2.13
blocked,41,118,26.78,0.26,683,150,-2.14
blocked,41,119,26.78,0.26,650,141,-2.12
blocked,41,120,26.78,0.26,483,134,-2.17
blocked,41,121,26.78,0.26,516,125,-2.18
blocked,41,122,26.78,0.26,537,122,-2.2
blocked,41,123,26.78,0.26,359,149,-2.11
blocked,41,124,26.78,0.26,1011,141,-2.13
blocked,41,125,26.78,0.26,334,92,-2.14
blocked,41,126,26.78,0.26,417,108,-2.22
blocked,41,127,26.78,0.26,525,111,-2.24
blocked,41,128,26.78,0.26,728,140,-2.19
blocked,41,129,26.78,0.26,429,107,-2.23
blocked,41,130,26.78,0.0,867,100,-1.92
blocked,41,131,26.78,0.0,408,109,-1.93
blocked,41,132,26.78,0.0,425,108,-1.96
blocked,41,133,26.78,0.0,567,117,-1.95
blocked,41,134,26.78,0.0,469,105,-2.06
blocked,41,135,26.78,0.0,475,108,-1.96
blocked,41,136,26.78,0.0,501,108,-2.01
blocked,41,137,26.78,0.0,592,92,-1.97
blocked,41,138,26.78,0.0,667,84,-1.93
blocked,41,139,26.78,0.0,1550,83,-1.93
blocked,41,140,26.78,0.0,541,100,-2.2
blocked,41,141,26.78,0.0,717,92,-1.83
blocked,41,142,26.78,0.0,392,100,-1.9
blocked,41,143,26.78,0.0,459,109,-1.93
blocked,41,144,26.78,0.0,425,133,-1.99
blocked,41,145,26.78,0.0,417,133,-1.95
blocked,41,146,26.78,0.0,492,158,-2.03
blocked,41,147,26.78,0.0,558,100,-1.96
blocked,41,148,26.78,0.0,434,128,-1.98
blocked,41,149,26.78,0.0,435,131,-1.9
blocked,41,150,26.78,0.0,541,126,-2.03
blocked,41,151,26.78,0.0,426,124,-2.05
blocked,41,152,26.78,0.0,487,106,-2.09
blocked,41,153,26.78,0.0,424,117,-1.97
blocked,41,154,26.78,0.0,475,158,-2.01
blocked,41,155,26.78,0.0,430,134,-2.08
blocked,41,156,26.78,0.0,466,108,-1.89
blocked,41,157,26.78,0.0,541,100,-2.08
blocked,41,158,26.78,0.0,658,133,-1.86
blocked,41,159,26.78,0.0,659,133,-1.97
blocked,41,160,26.78,0.0,607,150,-2.01
blocked,41,161,26.78,0.0,609,158,-1.87
blocked,41,162,26.78,0.0,524,142,-1.85
blocked,41,163,26.78,0.0,433,117,-1.96
blocked,41,164,26.78,0.0,391,117,-1.63
blocked,41,165,26.78,0.0,367,142,-1.9
blocked,41,166,26.78,0.0,608,117,-1.91
blocked,41,167,26.78,0.0,700,184,-1.83
blocked,41,168,26.78,0.0,383,225,-1.73
blocked,41,169,26.78,0.0,516,142,-1.89
blocked,41,170,26.78,0.0,275,99,-1.86
blocked,41,171,26.78,0.0,542,99,-1.98
blocked,41,172,26.78,0.0,508,100,-1.86
blocked,41,173,26.78,0.0,450,111,-1.87
blocked,41,174,26.78,0.0,309,100,-1.93
blocked,41,175,26.78,0.0,342,116,-1.95
blocked,41,176,26.78,0.0,441,168,-1.95
blocked,41,177,26.78,0.0,441,133,-1.96
blocked,41,178,26.78,0.0,387,147,-1.88
blocked,41,179,26.78,0.0,426,150,-1.85
blocked,41,180,26.78,0.0,434,175,-1.94
blocked,41,181,26.78,0.0,492,133,-2.02
blocked,41,182,26.78,0.0,417,92,-2.01
blocked,41,183,26.78,0.0,509,91,-1.69
blocked,41,184,26.78,0.0,467,108,-1.77
blocked,41,185,26.78,0.0,500,92,-1.6
blocked,41,186,26.78,0.0,466,100,-1.61
blocked,41,187,26.78,0.0,425,100,-1.8
blocked,41,188,26.78,0.0,509,117,-1.59
blocked,41,189,26.78,0.0,516,100,-1.74
blocked,41,190,26.78,0.0,550,117,-1.54
blocked,41,191,26.78,0.0,508,118,-1.93
blocked,41,192,26.78,0.0,692,108,-1.48
blocked,41,193,26.78,0.0,558,103,-1.64
blocked,41,194,26.78,0.0,542,125,-1.77
blocked,41,195,26.78,0.0,434,108,-1.66
blocked,41,196,26.78,0.0,525,100,-1.65
blocked,41,197,26.78,0.0,450,117,-1.71
blocked,41,198,26.78,0.0,441,150,-1.78
blocked,41,199,26.78,0.0,674,117,-1.75
blocked,41,200,26.78,0.0,517,133,-1.83
blocked,41,201,26.78,0.0,505,133,-1.71
blocked,41,202,26.78,0.0,691,133,-1.68
blocked,41,203,26.78,0.0,409,100,-1.73
blocked,41,204,26.78,0.0,500,91,-1.55
blocked,41,205,26.78,0.0,382,134,-1.73
blocked,41,206,26.78,0.0,292,126,-1.81
blocked,41,207,26.78,0.0,516,100,-1.61
blocked,41,208,26.78,0.0,417,100,-1.61
blocked,41,209,26.78,0.0,384,100,-1.6
blocked,41,210,26.78,0.0,309,92,-1.67
blocked,41,211,26.78,0.0,367,99,-1.65
blocked,41,212,26.78,0.0,421,112,-1.67
blocked,41,213,26.78,0.0,383,101,-1.63
blocked,41,214,26.78,0.0,526,100,-1.6
blocked,41,215,0.0,0.0,350,109,-1.68
blocked,41,216,0.0,0.0,432,84,-1.5
blocked,41,217,0.0,0.0,317,101,-2.01
blocked,41,218,0.0,0.0,333,100,-1.41
blocked,41,219,0.0,0.0,421,125,-1.85
blocked,41,220,0.0,0.0,392,100,-1.62
blocked,41,221,0.0,0.0,316,84,-1.82
blocked,41,222,0.0,0.0,326,100,-1.42
blocked,41,223,0.0,0.0,384,116,-1.7
blocked,41,224,0.0,0.0,391,101,-1.73
blocked,41,225,0.0,0.0,458,100,-1.46
blocked,41,226,0.0,0.0,392,117,-1.64
blocked,41,227,0.0,0.0,409,117,-1.72
blocked,41,228,0.0,0.0,609,100,-1.42
blocked,41,229,0.0,0.0,467,95,-1.74
blocked,41,230,0.0,0.26,399,91,-1.9
blocked,41,231,0.0,0.26,483,100,-2.05
blocked,41,232,0.0,0.26,558,92,-2.35
blocked,41,233,0.0,0.26,542,100,-2.85
blocked,41,234,0.0,0.26,483,117,-2.08
blocked,41,235,0.0,0.26,617,99,-2.34
blocked,41,236,0.0,0.26,300,100,-2.07
blocked,41,237,0.0,0.26,558,151,-2.27
blocked,41,238,0.0,0.26,492,116,-2.2
blocked,41,239,0.0,0.26,417,133,-2.07
blocked,41,240,0.0,0.26,550,133,-2.16
blocked,41,241,0.0,0.26,607,143,-2.39
blocked,41,242,0.0,0.26,734,141,-2.26
blocked,41,243,0.0,0.26,566,192,-2.36
blocked,41,244,0.0,0.26,433,160,-2.1
blocked,41,245,0.0,0.26,675,116,-2.27
blocked,41,246,0.0,0.26,267,150,-2.16
blocked,41,247,0.0,0.26,324,126,-2.26
blocked,41,248,0.0,0.26,458,109,-2.24
blocked,41,249,0.0,0.26,517,125,-2.25
blocked,41,250,0.0,0.26,451,132,-2.4
