condition,subject,trial,su,rotation,rt,mt,ep
interleaved,54,1,0.0,0.0,975,824,-1.44
interleaved,54,2,26.78,0.0,708,92,-1.4
interleaved,54,3,0.0,0.0,734,100,-1.47
interleaved,54,4,26.78,0.0,650,83,-1.44
interleaved,54,5,26.78,0.0,500,83,-1.59
interleaved,54,6,0.0,0.0,550,92,-1.49
interleaved,54,7,26.78,0.0,583,83,-1.52
interleaved,54,8,26.78,0.0,449,126,-1.61
interleaved,54,9,0.0,0.0,549,92,-1.49
interleaved,54,10,26.78,0.0,425,109,-1.61
interleaved,54,11,26.78,0.0,475,91,-1.67
interleaved,54,12,26.78,0.0,508,83,-1.4
interleaved,54,13,0.0,0.0,567,83,-1.54
interleaved,54,14,0.0,0.0,525,92,-1.54
interleaved,54,15,0.0,0.0,584,91,-1.65
interleaved,54,16,26.78,0.0,859,75,-1.46
interleaved,54,17,26.78,0.0,650,100,-1.43
interleaved,54,18,26.78,0.0,667,93,-1.66
interleaved,54,19,26.78,0.0,750,83,-1.61
interleaved,54,20,0.0,0.0,575,83,-1.67
interleaved,54,21,0.0,0.0,627,82,-1.54
interleaved,54,22,0.0,0.0,541,92,-1.64
interleaved,54,23,26.78,0.0,809,74,-1.52
interleaved,54,24,26.78,0.0,876,100,-1.55
interleaved,54,25,26.78,0.0,449,67,-1.44
interleaved,54,26,0.0,0.0,492,76,-1.6
interleaved,54,27,26.78,0.0,717,83,-1.53
interleaved,54,28,0.0,0.0,616,84,-1.56
interleaved,54,29,26.78,0.0,625,108,-1.6
interleaved,54,30,26.78,0.26,804,72,-1.91
interleaved,54,31,26.78,0.26,542,91,-1.74
interleaved,54,32,0.0,0.26,624,76,-1.82
interleaved,54,33,26.78,0.26,683,83,-1.66
interleaved,54,34,0.0,0.26,991,108,-1.64
interleaved,54,35,26.78,0.26,650,83,-1.62
interleaved,54,36,26.78,0.26,583,91,-1.68
interleaved,54,37,26.78,0.26,609,91,-1.61
interleaved,54,38,0.0,0.26,567,76,-1.7
interleaved,54,39,0.0,0.26,548,92,-1.56
interleaved,54,40,26.78,0.26,559,91,-1.58
interleaved,54,41,26.78,0.26,541,100,-1.71
interleaved,54,42,26.78,0.26,809,83,-1.64
interleaved,54,43,0.0,0.26,600,92,-1.52
interleaved,54,44,0.0,0.26,583,92,-1.63
interleaved,54,45,0.0,0.26,641,84,-1.61
interleaved,54,46,26.78,0.26,550,83,-1.52
interleaved,54,47,0.0,0.26,575,75,-1.58
interleaved,54,48,0.0,0.26,508,84,-1.57
interleaved,54,49,26.78,0.26,376,83,-1.7
interleaved,54,50,26.78,0.26,541,76,-1.56
interleaved,54,51,0.0,0.26,434,83,-1.58
interleaved,54,52,0.0,0.26,500,83,-1.59
interleaved,54,53,0.0,0.26,409,91,-1.54
interleaved,54,54,0.0,0.26,509,84,-1.57
interleaved,54,55,26.78,0.26,527,90,-1.54
interleaved,54,56,26.78,0.26,491,100,-1.55
interleaved,54,57,26.78,0.26,550,100,-1.61
interleaved,54,58,0.0,0.26,558,83,-1.55
interleaved,54,59,26.78,0.26,516,108,-1.76
interleaved,54,60,26.78,0.26,550,92,-1.54
interleaved,54,61,26.78,0.26,466,117,-1.7
interleaved,54,62,0.0,0.26,750,100,-1.61
interleaved,54,63,26.78,0.26,718,90,-1.57
interleaved,54,64,26.78,0.26,407,92,-1.67
interleaved,54,65,26.78,0.26,618,83,-1.59
interleaved,54,66,26.78,0.26,667,83,-1.61
interleaved,54,67,0.0,0.26,867,100,-1.69
interleaved,54,68,0.0,0.26,842,84,-1.58
interleaved,54,69,0.0,0.26,577,98,-1.59
interleaved,54,70,0.0,0.26,708,83,-1.51
interleaved,54,71,26.78,0.26,426,99,-1.59
interleaved,54,72,26.78,0.26,726,99,-1.63
interleaved,54,73,0.0,0.26,516,100,-1.67
interleaved,54,74,26.78,0.26,681,92,-1.58
interleaved,54,75,26.78,0.26,725,108,-1.66
interleaved,54,76,0.0,0.26,783,92,-1.59
interleaved,54,77,0.0,0.26,592,92,-1.64
interleaved,54,78,26.78,0.26,650,92,-1.62
interleaved,54,79,26.78,0.26,650,91,-1.55
interleaved,54,80,0.0,0.26,892,100,-1.62
interleaved,54,81,26.78,0.26,717,91,-1.5
interleaved,54,82,0.0,0.26,766,92,-1.57
interleaved,54,83,26.78,0.26,583,85,-1.58
interleaved,54,84,26.78,0.26,642,91,-1.65
interleaved,54,85,0.0,0.26,675,84,-1.62
interleaved,54,86,26.78,0.26,1007,93,-1.58
interleaved,54,87,0.0,0.26,658,99,-1.59
interleaved,54,88,0.0,0.26,608,92,-1.57
interleaved,54,89,0.0,0.26,442,100,-1.54
interleaved,54,90,0.0,0.26,558,108,-1.61
interleaved,54,91,0.0,0.26,624,108,-1.61
interleaved,54,92,26.78,0.26,611,105,-1.62
interleaved,54,93,0.0,0.26,550,108,-1.67
interleaved,54,94,26.78,0.26,590,100,-1.56
interleaved,54,95,0.0,0.26,600,109,-1.59
interleaved,54,96,26.78,0.26,550,91,-1.57
interleaved,54,97,0.0,0.26,542,100,-1.63
interleaved,54,98,26.78,0.26,500,100,-1.6
interleaved,54,99,0.0,0.26,817,83,-1.61
interleaved,54,100,26.78,0.26,683,92,-1.58
interleaved,54,101,26.78,0.26,584,91,-1.63
interleaved,54,102,26.78,0.26,626,91,-1.68
interleaved,54,103,0.0,0.26,650,99,-1.56
interleaved,54,104,0.0,0.26,699,93,-1.6
interleaved,54,105,0.0,0.26,716,100,-1.66
interleaved,54,106,26.78,0.26,599,75,-1.54
interleaved,54,107,0.0,0.26,600,92,-1.63
interleaved,54,108,0.0,0.26,433,91,-1.52
interleaved,54,109,0.0,0.26,693,91,-1.61
interleaved,54,110,0.0,0.26,750,109,-1.6
interleaved,54,111,26.78,0.26,742,125,-1.66
interleaved,54,112,0.0,0.26,661,89,-1.61
interleaved,54,113,26.78,0.26,610,99,-1.65
interleaved,54,114,26.78,0.26,616,101,-1.59
interleaved,54,115,26.78,0.26,767,117,-1.62
interleaved,54,116,26.78,0.26,700,116,-1.64
interleaved,54,117,26.78,0.26,633,133,-1.66
interleaved,54,118,0.0,0.26,591,108,-1.67
interleaved,54,119,26.78,0.26,725,117,-1.59
interleaved,54,120,0.0,0.26,617,100,-1.66
interleaved,54,121,26.78,0.26,659,108,-1.65
interleaved,54,122,0.0,0.26,724,100,-1.62
interleaved,54,123,0.0,0.26,767,83,-1.61
interleaved,54,124,26.78,0.26,642,91,-1.55
interleaved,54,125,0.0,0.26,992,100,-1.58
interleaved,54,126,0.0,0.26,692,75,-1.53
interleaved,54,127,0.0,0.26,676,91,-1.66
interleaved,54,128,26.78,0.26,849,101,-1.61
interleaved,54,129,26.78,0.26,700,117,-1.6
interleaved,54,130,0.0,0.0,808,125,-1.39
interleaved,54,131,26.78,0.0,583,83,-1.36
interleaved,54,132,26.78,0.0,583,76,-1.3
interleaved,54,133,26.78,0.0,550,75,-1.47
interleaved,54,134,0.0,0.0,540,75,-1.4
interleaved,54,135,0.0,0.0,790,77,-1.38
interleaved,54,136,0.0,0.0,850,92,-1.64
interleaved,54,137,26.78,0.0,449,91,-1.46
interleaved,54,138,0.0,0.0,806,91,-1.44
interleaved,54,139,0.0,0.0,650,91,-1.43
interleaved,54,140,0.0,0.0,553,82,-1.45
interleaved,54,141,0.0,0.0,566,92,-1.54
interleaved,54,142,0.0,0.0,605,97,-1.47
interleaved,54,143,26.78,0.0,965,105,-1.5
interleaved,54,144,0.0,0.0,666,100,-1.44
interleaved,54,145,0.0,0.0,619,99,-1.34
interleaved,54,146,0.0,0.0,639,100,-1.33
interleaved,54,147,26.78,0.0,575,92,-1.38
interleaved,54,148,26.78,0.0,650,100,-1.37
interleaved,54,149,26.78,0.0,525,100,-1.39
interleaved,54,150,0.0,0.0,817,108,-1.62
interleaved,54,151,26.78,0.0,1107,75,-1.4
interleaved,54,152,0.0,0.0,517,77,-1.42
interleaved,54,153,0.0,0.0,630,117,-1.46
interleaved,54,154,0.0,0.0,508,100,-1.39
interleaved,54,155,26.78,0.0,636,93,-1.64
interleaved,54,156,26.78,0.0,633,94,-1.45
interleaved,54,157,26.78,0.0,530,79,-1.38
interleaved,54,158,0.0,0.0,746,99,-1.44
interleaved,54,159,0.0,0.0,642,108,-1.47
interleaved,54,160,26.78,0.0,608,108,-1.47
interleaved,54,161,26.78,0.0,908,142,-1.46
interleaved,54,162,26.78,0.0,889,112,-1.45
interleaved,54,163,0.0,0.0,776,115,-1.51
interleaved,54,164,26.78,0.0,766,117,-1.49
interleaved,54,165,0.0,0.0,684,107,-1.36
interleaved,54,166,26.78,0.0,742,100,-1.48
interleaved,54,167,0.0,0.0,925,109,-1.47
interleaved,54,168,26.78,0.0,1099,108,-1.39
interleaved,54,169,0.0,0.0,608,92,-1.45
interleaved,54,170,0.0,0.0,483,100,-1.34
interleaved,54,171,26.78,0.0,1007,92,-1.32
interleaved,54,172,26.78,0.0,391,84,-1.41
interleaved,54,173,0.0,0.0,483,93,-1.41
interleaved,54,174,0.0,0.0,658,99,-1.51
interleaved,54,175,0.0,0.0,617,91,-1.42
interleaved,54,176,0.0,0.0,633,92,-1.46
interleaved,54,177,0.0,0.0,609,99,-1.42
interleaved,54,178,0.0,0.0,901,100,-1.31
interleaved,54,179,26.78,0.0,900,127,-1.44
interleaved,54,180,26.78,0.0,734,116,-1.43
interleaved,54,181,26.78,0.0,558,91,-1.51
interleaved,54,182,0.0,0.0,726,100,-1.37
interleaved,54,183,26.78,0.0,569,84,-1.43
interleaved,54,184,26.78,0.0,608,100,-1.6
interleaved,54,185,0.0,0.0,808,100,-1.55
interleaved,54,186,0.0,0.0,975,91,-1.54
interleaved,54,187,0.0,0.0,799,101,-1.45
interleaved,54,188,26.78,0.0,776,90,-1.49
interleaved,54,189,26.78,0.0,783,83,-1.54
interleaved,54,190,26.78,0.0,958,117,-1.53
interleaved,54,191,26.78,0.0,841,100,-1.67
interleaved,54,192,26.78,0.0,758,108,-1.5
