condition,subject,trial,state,t,x,y
blocked,29,1,state_init,6114.0,-1.2080889699595332,1079.5253443081306
blocked,29,1,state_init,6125.0,-3.035596997805783,1078.7260130090765
blocked,29,1,state_init,6135.0,-4.223632177016157,1078.1923690297779
blocked,29,1,state_init,6145.0,-5.71800420218068,1077.2889826826395
blocked,29,1,state_init,6155.0,-6.581957969077479,1076.7718059638514
blocked,29,1,state_init,6165.0,-7.825596840819031,1076.089331116812
blocked,29,1,state_init,6176.0,-8.632609995801772,1075.7103368252224
blocked,29,1,state_init,6186.0,-9.710531633082553,1075.2387505608865
blocked,29,1,state_init,6196.0,-10.395702817000512,1074.9143658947
blocked,29,1,state_init,6206.0,-11.063919432376395,1074.372721037945
blocked,29,1,state_init,6217.0,-11.324618712111203,1074.1049534900508
blocked,29,1,state_init,6227.0,-11.529410454000697,1073.6341091252607
blocked,29,1,state_init,6238.0,-11.392011602839887,1073.129021004957
blocked,29,1,state_init,6248.0,-10.81519165802817,1072.3353630553718
blocked,29,1,state_init,6259.0,-8.73172433735121,1070.240551499136
blocked,29,1,state_init,6270.0,-6.089363945411037,1067.7426848307418
blocked,29,1,state_init,6281.0,-4.3264534314009495,1066.1016830438386
blocked,29,1,state_init,6291.0,-1.4681197900024756,1064.126251852779
blocked,29,1,state_init,6302.0,0.5442477271104451,1063.1728454744875
blocked,29,1,state_init,6312.0,3.391460630003067,1062.1459764940955
blocked,29,1,state_init,6322.0,5.292924607368619,1061.7955307879758
blocked,29,1,state_init,6332.0,7.962448770413886,1061.9602761283302
blocked,29,1,state_init,6343.0,9.71885699469631,1062.4431509034048
blocked,29,1,state_init,6353.0,12.465618636656188,1063.6784427415387
blocked,29,1,state_init,6363.0,14.37747412377341,1064.9714936413834
blocked,29,1,state_init,6373.0,16.43025306769836,1066.7209800530716
blocked,29,1,state_init,6383.0,19.502007657914646,1070.1072641542357
blocked,29,1,state_init,6393.0,22.424088046269617,1074.2072047039449
blocked,29,1,state_init,6404.0,24.56668366512403,1077.2138762638979
blocked,29,1,state_init,6414.0,27.005467696432106,1080.3660910583096
blocked,29,1,state_init,6424.0,31.14469164511476,1085.1550089863726
blocked,29,1,state_init,6435.0,34.08469890701781,1088.3149337172424
blocked,29,1,state_init,6445.0,38.56185961434946,1092.8754484144974
blocked,29,1,state_init,6455.0,41.54707905903159,1095.790051695501
blocked,29,1,state_init,6465.0,45.96656992569457,1099.9772890917855
blocked,29,1,state_init,6476.0,48.886037244345886,1102.5774869828483
blocked,29,1,state_init,6486.0,52.90937459012525,1105.9228429590603
blocked,29,1,state_init,6496.0,55.17356910379306,1107.8073841822143
blocked,29,1,state_init,6506.0,58.13205016081014,1110.3312391552922
blocked,29,1,state_init,6517.0,59.801315548929495,1111.8016986024475
blocked,29,1,state_init,6527.0,61.9396573333826,1113.8616772476473
blocked,29,1,state_init,6538.0,63.21805610908861,1115.1089267608163
blocked,29,1,state_init,6549.0,64.82740320121295,1116.7315919912942
blocked,29,1,state_init,6560.0,65.69153927529861,1117.6866203656516
blocked,29,1,state_init,6570.0,66.59869984589974,1118.7333678897608
blocked,29,1,state_init,6580.0,66.95097810338737,1119.1497771937468
blocked,29,1,state_init,6591.0,67.18749129609783,1119.4656227416294
blocked,29,1,state_init,6601.0,67.23179194293387,1119.5385325558332
blocked,29,1,state_init,6611.0,67.26673415408698,1119.5606586187628
blocked,29,1,state_init,6621.0,67.28520794920101,1119.5768640323747
blocked,29,1,state_init,6632.0,67.28466102763527,1119.5905528063502
blocked,29,1,state_init,6643.0,67.28654486858431,1119.5814318060497
blocked,29,1,state_init,6653.0,67.2821694960573,1119.58506856853
blocked,29,1,state_init,6663.0,67.28314180106331,1119.5838175222368
blocked,29,1,state_init,6673.0,67.28350641544061,1119.5866251028715
blocked,29,1,state_init,6684.0,67.28581563982992,1119.5937531573327
blocked,29,1,state_init,6694.0,67.29614638051864,1119.6006048178454
blocked,29,1,state_init,6705.0,67.29754406896468,1119.604227033276
blocked,29,1,state_init,6716.0,67.29833406678225,1119.604416144925
blocked,29,1,state_init,6727.0,67.3019194414919,1119.6056090030183
blocked,29,1,state_init,6737.0,67.30599096870435,1119.6070491609605
blocked,29,1,state_init,6747.0,67.30933326716261,1119.607892889856
blocked,29,1,state_init,6758.0,67.31863093378259,1119.616882966707
blocked,29,1,state_init,6768.0,67.32470784006999,1119.624971126463
blocked,29,1,state_init,6778.0,67.34069010360628,1119.6338593739647
blocked,29,1,state_init,6788.0,67.34439701644163,1119.6375979657946
blocked,29,1,state_init,6799.0,67.35083853710634,1119.6488282883333
blocked,29,1,state_init,6810.0,67.36135158498371,1119.6580365709333
blocked,29,1,state_init,6820.0,67.37429539537608,1119.6714198568607
blocked,29,1,state_init,6830.0,67.3868138223284,1119.6791588874185
blocked,29,1,state_init,6841.0,67.39137150204407,1119.6841339784914
blocked,29,1,state_init,6851.0,67.39519995300533,1119.6952915657807
blocked,29,1,state_init,6862.0,67.40467992681374,1119.6999175276555
blocked,29,1,state_init,6872.0,67.4079006871461,1119.7059691004229
blocked,29,1,state_init,6883.0,67.41616527969711,1119.7159338296185
blocked,29,1,state_init,6893.0,67.4276506325807,1119.7189014278024
blocked,29,1,state_init,6904.0,67.43305907917645,1119.7271932462572
blocked,29,1,state_init,6914.0,67.44436212487138,1119.7365179052567
blocked,29,1,state_init,6924.0,67.44770442332943,1119.7420748783265
blocked,29,1,state_init,6935.0,67.44879826646113,1119.743456848069
blocked,29,1,state_init,6945.0,67.45274825554809,1119.7460171288549
blocked,29,1,state_init,6955.0,67.45317363898813,1119.7510649551775
blocked,29,1,state_init,6966.0,67.45420671305709,1119.751312255026
blocked,29,1,state_init,6977.0,67.4574882424524,1119.7544398707591
blocked,29,1,state_init,6987.0,67.46119515528775,1119.7576547687916
blocked,29,1,state_init,6997.0,67.46429437749441,1119.7567673987464
blocked,29,1,state_init,7008.0,67.46478052999741,1119.758542138837
blocked,29,1,state_init,7018.0,67.46550975875181,1119.7628771597133
blocked,29,1,state_init,7028.0,67.46769744501542,1119.7638954532076
blocked,29,1,state_init,7038.0,67.46885205721007,1119.7662957164448
blocked,29,1,state_init,7048.0,67.47207281754243,1119.7667466749924
blocked,29,1,state_init,7059.0,67.47340973692573,1119.768114097685
blocked,29,1,state_init,7069.0,67.47547588506343,1119.7707471137205
blocked,29,1,state_init,7079.0,67.47808895476709,1119.7708925842198
blocked,29,1,state_init,7089.0,67.47985125759044,1119.7748202876985
blocked,29,1,state_init,7100.0,67.4863535473181,1119.780391807818
blocked,29,1,state_init,7110.0,67.49200507016546,1119.792160371204
blocked,29,1,state_init,7121.0,67.49698813332117,1119.8043071578882
blocked,29,1,state_init,7132.0,67.50883810058184,1119.8220254646917
blocked,29,1,state_init,7143.0,67.51461116155511,1119.82417842808
blocked,29,1,state_init,7153.0,67.52281498504317,1119.8369361908608
blocked,29,1,state_init,7163.0,67.52913496758218,1119.8362379324644
blocked,29,1,state_init,7173.0,67.53028957977683,1119.8444715627197
blocked,29,1,state_init,7183.0,67.53733879107045,1119.8481374192997
blocked,29,1,state_init,7193.0,67.54426646423816,1119.84994125349
blocked,29,1,state_init,7204.0,67.54499569299277,1119.8577675663473
blocked,29,1,state_init,7214.0,67.55447566680118,1119.8650992795076
blocked,29,1,state_init,7224.0,67.55885103932819,1119.8722273339688
blocked,29,1,state_init,7235.0,67.5650494837415,1119.8797917999277
blocked,29,1,state_init,7245.0,67.57635252943622,1119.888941894328
blocked,29,1,state_init,7256.0,67.57568406974457,1119.8930296153555
blocked,29,1,state_init,7266.0,67.58467789105019,1119.899793993569
blocked,29,1,state_init,7278.0,67.59379325048151,1119.9114316335056
blocked,29,1,state_init,7288.0,67.59154479515516,1119.911155239557
blocked,29,1,state_init,7298.0,67.59798631581987,1119.9149520195865
blocked,29,1,state_init,7309.0,67.60485321992483,1119.920378069207
blocked,29,1,state_init,7319.0,67.61299627434994,1119.9330049085384
blocked,29,1,state_init,7329.0,67.62897853788623,1119.9465773061145
blocked,29,1,state_init,7339.0,67.63274621978454,1119.9579385521026
blocked,29,1,state_init,7349.0,67.64575079923986,1119.9697943977883
blocked,29,1,state_init,7360.0,67.65316462491057,1119.9758168764556
blocked,29,1,state_init,7370.0,67.67054457689291,1119.9981465980843
blocked,29,1,state_init,7380.0,67.70111141551901,1120.0223674362023
blocked,29,1,state_init,7391.0,67.7711781450143,1120.0879018960961
blocked,29,1,state_init,7401.0,67.84616716860235,1120.1606516927507
blocked,29,1,state_init,7411.0,68.03455126351551,1120.3648486324905
blocked,29,1,state_init,7421.0,68.18647392070339,1120.5213167014397
blocked,29,1,state_init,7431.0,68.36027344052653,1120.7025874905041
blocked,29,1,state_init,7441.0,68.62461886403374,1120.9827200308312
blocked,29,1,state_init,7452.0,68.81555525958781,1121.1775050292722
blocked,29,1,state_init,7462.0,69.15902200295847,1121.5785817426413
blocked,29,1,state_init,7472.0,69.45192888601703,1121.923143167068
blocked,29,1,state_init,7482.0,70.03081497896623,1122.5130842295607
blocked,29,1,state_init,7493.0,70.4063070184722,1122.8236637453722
blocked,29,1,state_init,7503.0,70.7660598706935,1123.1517579092883
blocked,29,1,state_init,7513.0,70.94046708114554,1123.303367263564
blocked,29,1,state_init,7523.0,71.0508844683897,1123.4182016756397
blocked,29,1,state_init,7533.0,71.14228113895408,1123.5002761312935
blocked,29,1,state_init,7543.0,71.15838494061606,1123.5284537669904
blocked,29,1,state_init,7554.0,71.15419187527749,1123.5220676120748
blocked,29,1,state_init,7564.0,71.15874955499315,1123.5326142232677
blocked,29,1,state_init,7574.0,71.15874955499315,1123.525704374555
blocked,29,1,state_init,7585.0,71.15838494061606,1123.5228967939204
blocked,29,1,state_init,7595.0,71.15765571186145,1123.5276827733446
blocked,29,1,state_init,7605.0,71.1550426421578,1123.5290356489872
blocked,29,1,state_init,7615.0,71.15874955499315,1123.5265190093505
blocked,29,1,state_init,7626.0,71.15838494061606,1123.5267663091995
blocked,29,1,state_init,7636.0,71.15680494498115,1123.5258789391542
blocked,29,1,state_init,7646.0,71.1590534003075,1123.5284246728904
blocked,29,1,state_init,7656.0,71.15917493843341,1123.5282210141916
blocked,29,1,state_init,7667.0,71.16008647437646,1123.5300975836315
blocked,29,1,state_init,7677.0,71.15935724562206,1123.530170318881
blocked,29,1,state_init,7688.0,71.15802032623876,1123.5294866075346
blocked,29,1,state_init,7698.0,71.15838494061606,1123.530170318881
blocked,29,1,state_init,7709.0,71.1595395528105,1123.5281191848421
blocked,29,1,state_init,7719.0,71.15838494061606,1123.5302576011804
blocked,29,1,state_init,7729.0,71.15820263342741,1123.5306940126782
blocked,29,1,state_init,7739.0,71.16026878156511,1123.5320759824206
blocked,29,1,state_init,7750.0,71.15972185999915,1123.529239307686
blocked,29,1,state_init,7761.0,71.1599041671878,1123.5318868707716
blocked,29,1,state_init,7771.0,71.1590534003075,1123.5304321657795
blocked,29,1,state_init,7781.0,71.15868878593041,1123.5317414002725
blocked,29,1,state_init,7792.0,71.15984339812506,1123.53220690587
blocked,29,1,state_init,7802.0,71.16008647437646,1123.5299230190324
blocked,29,1,state_init,7812.0,71.1595395528105,1123.534578075007
blocked,29,1,state_init,7822.0,71.15935724562206,1123.5341125694094
blocked,29,1,state_init,7833.0,71.16057262687946,1123.5342871340085
blocked,29,1,state_init,7844.0,71.16026878156511,1123.5359454976995
blocked,29,1,state_init,7854.0,71.16020801250215,1123.533865269561
blocked,29,1,state_init,7864.0,71.16026878156511,1123.5348835630552
blocked,29,1,state_init,7874.0,71.16069416500515,1123.5337052520117
blocked,29,1,state_init,7885.0,71.16142339375976,1123.5350290335546
blocked,29,1,state_init,7895.0,71.16105877938246,1123.5360036858992
blocked,29,1,state_init,7905.0,71.16172723907411,1123.5355236332518
blocked,29,1,state_init,7916.0,71.16330723470881,1123.5374438438414
blocked,29,1,state_init,7927.0,71.16330723470881,1123.5385203255355
blocked,29,1,state_init,7937.0,71.16190954626276,1123.5383894020863
blocked,29,1,state_init,7947.0,71.16178800813707,1123.539916842328
blocked,29,1,state_init,7957.0,71.16361108002316,1123.5385348725854
blocked,29,1,state_init,7968.0,71.16440107784051,1123.5386657960348
blocked,29,1,state_init,7978.0,71.1624564678285,1123.5398004659285
blocked,29,1,state_init,7988.0,71.16373261814907,1123.538796719484
blocked,29,1,state_init,7998.0,71.16306415845742,1123.5392476780316
blocked,29,1,state_init,8009.0,71.16549492097242,1123.5404114420253
blocked,29,1,state_init,8019.0,71.16628491878977,1123.5389421899831
blocked,29,1,state_init,8029.0,71.16561645909812,1123.5386803430847
blocked,29,1,state_init,8039.0,71.16664953316707,1123.53770569074
blocked,29,1,state_init,8050.0,71.16713568567008,1123.538796719484
blocked,29,1,state_init,8060.0,71.16458338502916,1123.5383894020863
blocked,29,1,state_init,8071.0,71.16610261160112,1123.540818759423
blocked,29,1,state_init,8081.0,71.16634568785251,1123.543597245958
blocked,29,1,state_init,8092.0,71.16786491442447,1123.543786357607
blocked,29,1,state_init,8102.0,71.16525184472081,1123.54321902266
blocked,29,1,state_init,8112.0,71.16513030659512,1123.5415897530688
blocked,29,1,state_init,8122.0,71.16634568785251,1123.540818759423
blocked,29,1,state_init,8132.0,71.16719645473282,1123.5403968949754
blocked,29,1,state_init,8143.0,71.16853337411612,1123.5411097004214
blocked,29,1,state_init,8153.0,71.16835106692747,1123.5412406238706
blocked,29,1,state_init,8163.0,71.16835106692747,1123.5430735521606
blocked,29,1,state_init,8174.0,71.17023490787673,1123.5444409748534
blocked,29,1,state_init,8184.0,71.17005260068808,1123.543742716457
blocked,29,1,state_init,8194.0,71.16895875755617,1123.5450374039
blocked,29,1,state_init,8205.0,71.17084259850543,1123.5431608344602
blocked,29,1,state_init,8215.0,71.17272643945448,1123.5440772986053
blocked,29,1,state_init,8226.0,71.17309105383178,1123.546521202992
blocked,29,1,state_init,8236.0,71.17394182071209,1123.5480195491339
blocked,29,1,state_init,8246.0,71.17388105164913,1123.5493142365767
blocked,29,1,state_init,8258.0,71.17746642635879,1123.5497506480745
blocked,29,1,state_init,8268.0,71.1819633370115,1123.5532419400554
blocked,29,1,state_init,8279.0,71.1828141038918,1123.559424436272
blocked,29,1,state_init,8289.0,71.19095715831712,1123.5631921222014
