condition,subject,trial,su,rotation,rt,mt,ep
blocked,29011111,1,0.0,0.0,666,576,-1.43
blocked,29011111,2,0.0,0.0,434,141,-1.38
blocked,29011111,3,0.0,0.0,492,100,-1.57
blocked,29011111,4,26.78,0.0,383,126,-1.37
blocked,29011111,5,0.0,0.0,284,133,-1.43
blocked,29011111,6,26.78,0.0,308,108,-1.4
blocked,29011111,7,26.78,0.0,300,116,-1.61
blocked,29011111,8,26.78,0.0,297,93,-1.48
blocked,29011111,9,0.0,0.0,300,145,-1.72
blocked,29011111,10,0.0,0.0,291,199,-1.45
blocked,29011111,11,26.78,0.0,330,119,-1.52
blocked,29011111,12,0.0,0.0,274,133,-1.53
blocked,29011111,13,26.78,0.0,300,108,-1.57
blocked,29011111,14,26.78,0.0,283,117,-1.56
blocked,29011111,15,26.78,0.0,305,109,-1.53
blocked,29011111,16,26.78,0.0,567,83,-1.66
blocked,29011111,17,0.0,0.0,349,134,-1.52
blocked,29011111,18,0.0,0.0,391,82,-1.63
blocked,29011111,19,26.78,0.0,283,84,-1.63
blocked,29011111,20,0.0,0.0,377,132,-1.44
blocked,29011111,21,0.0,0.0,350,100,-1.54
blocked,29011111,22,26.78,0.0,317,117,-1.57
blocked,29011111,23,0.0,0.0,383,143,-1.63
blocked,29011111,24,26.78,0.0,383,92,-1.46
blocked,29011111,25,26.78,0.0,259,67,-1.62
blocked,29011111,26,26.78,0.0,293,83,-1.53
blocked,29011111,27,26.78,0.0,434,117,-1.51
blocked,29011111,28,0.0,0.0,552,83,-1.49
blocked,29011111,29,26.78,0.0,316,101,-1.62
blocked,29011111,30,0.0,0.26,283,75,-1.9
blocked,29011111,31,0.0,0.26,307,95,-1.83
blocked,29011111,32,0.0,0.26,276,83,-1.79
blocked,29011111,33,0.0,0.26,250,99,-1.7
blocked,29011111,34,0.0,0.26,269,127,-1.47
blocked,29011111,35,0.0,0.26,249,84,-1.81
blocked,29011111,36,0.0,0.26,242,99,-1.74
blocked,29011111,37,0.0,0.26,275,117,-1.64
blocked,29011111,38,0.0,0.26,291,100,-1.72
blocked,29011111,39,0.0,0.26,357,126,-1.73
blocked,29011111,40,0.0,0.26,370,91,-1.71
blocked,29011111,41,0.0,0.26,333,108,-1.69
blocked,29011111,42,0.0,0.26,316,109,-1.55
blocked,29011111,43,0.0,0.26,334,83,-1.75
blocked,29011111,44,0.0,0.26,306,72,-1.76
blocked,29011111,45,0.0,0.26,291,117,-1.73
blocked,29011111,46,0.0,0.26,316,83,-1.59
blocked,29011111,47,0.0,0.26,258,100,-1.63
blocked,29011111,48,0.0,0.26,309,100,-1.59
blocked,29011111,49,0.0,0.26,284,75,-1.7
blocked,29011111,50,0.0,0.26,267,82,-1.61
blocked,29011111,51,0.0,0.26,269,81,-1.66
blocked,29011111,52,0.0,0.26,442,142,-1.68
blocked,29011111,53,0.0,0.26,324,117,-1.53
blocked,29011111,54,0.0,0.26,358,142,-1.63
blocked,29011111,55,0.0,0.26,266,107,-1.71
