condition,subject,trial,state,t,x,y
blocked,55123123,1,state_init,26353.0,1.3896957146672548,863.2928923609968
blocked,55123123,1,state_init,26362.0,2.8338635192517927,862.5981552432645
blocked,55123123,1,state_init,26370.0,3.4619830664365736,862.3170148899796
blocked,55123123,1,state_init,26378.0,3.679026169538247,862.215997969558
blocked,55123123,1,state_init,26387.0,4.00614046123161,862.0794576657836
blocked,55123123,1,state_init,26395.0,4.030934653883719,862.0710629976373
blocked,55123123,1,state_init,26403.0,4.034785267136442,862.0737423769169
blocked,55123123,1,state_init,26412.0,4.036287945478989,862.0810134343976
blocked,55123123,1,state_init,26420.0,4.031967745244231,862.0746715165059
blocked,55123123,1,state_init,26428.0,4.030371149505243,862.0759787942995
blocked,55123123,1,state_init,26436.0,4.029807645126766,862.0699177790742
blocked,55123123,1,state_init,26444.0,4.026708371045231,862.0644833928741
blocked,55123123,1,state_init,26453.0,4.026332701459637,862.0731805715841
blocked,55123123,1,state_init,26461.0,4.025111775306243,862.0706524475864
blocked,55123123,1,state_init,26470.0,4.029525892937613,862.0731265518406
blocked,55123123,1,state_init,26477.0,4.02924414074829,862.0713222924063
blocked,55123123,1,state_init,26486.0,4.029807645126766,862.0741205151218
blocked,55123123,1,state_init,26495.0,4.030934653883719,862.0736991611221
blocked,55123123,1,state_init,26503.0,4.0318738278477895,862.0767998944013
blocked,55123123,1,state_init,26511.0,4.032249497433384,862.0777614458365
blocked,55123123,1,state_init,26520.0,4.033376506190336,862.0757519113768
blocked,55123123,1,state_init,26528.0,4.033564340983048,862.0745958888649
blocked,55123123,1,state_init,26536.0,4.033940010568813,862.0774913471188
blocked,55123123,1,state_init,26544.0,4.035160936722036,862.0795224894758
blocked,55123123,1,state_init,26553.0,4.039575054353236,862.0803111777316
blocked,55123123,1,state_init,26561.0,4.0399507239390005,862.0755574402999
blocked,55123123,1,state_init,26570.0,4.041641237074259,862.0791983710146
blocked,55123123,1,state_init,26577.0,4.042392576245618,862.080224746142
blocked,55123123,1,state_init,26586.0,4.042768245831212,862.0808513751671
blocked,55123123,1,state_init,26594.0,4.041641237074259,862.0809810225514
blocked,55123123,1,state_init,26603.0,4.041077732695783,862.0813807686537
blocked,55123123,1,state_init,26612.0,4.040983815299512,862.0795657052707
blocked,55123123,1,state_init,26620.0,4.040138558731712,862.0796629408092
blocked,55123123,1,state_init,26627.0,4.039481136956965,862.0805488646032
blocked,55123123,1,state_init,26636.0,4.037790623821536,862.0797601763475
blocked,55123123,1,state_init,26644.0,4.102311875154612,862.056747765599
blocked,55123123,1,state_init,26653.0,4.4764787824489645,861.7504126039265
blocked,55123123,1,state_init,26661.0,4.9599655391636475,861.3265736961038
blocked,55123123,1,state_init,26670.0,5.666036525368156,860.7418423841183
blocked,55123123,1,state_init,26677.0,6.627187160220046,860.0147042242102
blocked,55123123,1,state_init,26686.0,7.944472562255896,859.224362964359
blocked,55123123,1,state_init,26694.0,9.438228752144482,858.464261956942
blocked,55123123,1,state_init,26703.0,11.381473601247649,857.6520751128028
blocked,55123123,1,state_init,26711.0,13.539037948956548,856.816735406582
blocked,55123123,1,state_init,26722.0,17.28606031349517,855.6123868322323
