condition,subject,trial,su,rotation,rt,mt,ep
blocked,61,1,26.78,0.0,650,216,-1.62
blocked,61,2,0.0,0.0,675,184,-1.61
blocked,61,3,0.0,0.0,433,175,-1.55
blocked,61,4,0.0,0.0,433,183,-1.49
blocked,61,5,26.78,0.0,483,100,-1.54
blocked,61,6,26.78,0.0,308,93,-1.61
blocked,61,7,26.78,0.0,384,107,-1.64
blocked,61,8,0.0,0.0,500,125,-1.63
blocked,61,9,0.0,0.0,517,108,-1.53
blocked,61,10,26.78,0.0,1199,142,-1.6
blocked,61,11,0.0,0.0,408,108,-1.61
blocked,61,12,26.78,0.0,291,116,-1.53
blocked,61,13,0.0,0.0,324,100,-1.53
blocked,61,14,26.78,0.0,469,108,-1.59
blocked,61,15,26.78,0.0,566,117,-1.6
blocked,61,16,0.0,0.0,717,116,-1.63
blocked,61,17,26.78,0.0,408,158,-1.57
blocked,61,18,26.78,0.0,383,125,-1.53
blocked,61,19,26.78,0.0,659,133,-1.55
blocked,61,20,0.0,0.0,500,116,-1.62
blocked,61,21,0.0,0.0,492,134,-1.52
blocked,61,22,0.0,0.0,357,100,-1.61
blocked,61,23,0.0,0.0,459,134,-1.48
blocked,61,24,26.78,0.0,459,125,-1.63
blocked,61,25,0.0,0.0,574,109,-1.57
blocked,61,26,26.78,0.0,433,108,-1.43
blocked,61,27,26.78,0.0,75,150,-1.58
blocked,61,28,0.0,0.0,490,120,-1.59
blocked,61,29,0.0,0.0,433,150,-1.5
blocked,61,30,26.78,0.26,424,145,-1.84
blocked,61,31,26.78,0.26,367,176,-1.77
blocked,61,32,26.78,0.26,643,176,-1.82
blocked,61,33,26.78,0.26,515,158,-1.77
blocked,61,34,26.78,0.26,499,150,-1.72
blocked,61,35,26.78,0.26,425,450,-1.76
blocked,61,36,26.78,0.26,457,175,-1.73
blocked,61,37,26.78,0.26,583,134,-1.65
blocked,61,38,26.78,0.26,475,175,-1.68
blocked,61,39,26.78,0.26,483,200,-1.74
blocked,61,40,26.78,0.26,526,183,-1.73
blocked,61,41,26.78,0.26,442,142,-1.58
blocked,61,42,26.78,0.26,426,183,-1.56
blocked,61,43,26.78,0.26,444,1039,-1.66
blocked,61,44,26.78,0.26,583,200,-1.6
blocked,61,45,26.78,0.26,566,149,-1.65
blocked,61,46,26.78,0.26,491,176,-1.74
blocked,61,47,26.78,0.26,609,133,-1.61
blocked,61,48,26.78,0.26,674,175,-1.69
blocked,61,49,26.78,0.26,533,147,-1.57
blocked,61,50,26.78,0.26,559,150,-1.69
blocked,61,51,26.78,0.26,741,150,-1.64
blocked,61,52,26.78,0.26,534,133,-1.62
blocked,61,53,26.78,0.26,601,182,-1.71
blocked,61,54,26.78,0.26,516,175,-1.53
blocked,61,55,26.78,0.26,575,167,-1.69
blocked,61,56,26.78,0.26,477,2930,-1.83
blocked,61,57,26.78,0.26,692,141,-1.68
blocked,61,58,26.78,0.26,700,119,-1.65
blocked,61,59,26.78,0.26,825,133,-1.73
blocked,61,60,26.78,0.26,608,117,-1.69
blocked,61,61,26.78,0.26,742,158,-1.79
blocked,61,62,26.78,0.26,591,117,-1.71
blocked,61,63,26.78,0.26,534,126,-1.71
blocked,61,64,26.78,0.26,550,2166,-1.73
blocked,61,65,26.78,0.26,576,159,-1.73
blocked,61,66,26.78,0.26,467,136,-1.56
blocked,61,67,26.78,0.26,542,159,-1.71
blocked,61,68,26.78,0.26,625,125,-1.72
blocked,61,69,26.78,0.26,843,140,-1.65
blocked,61,70,26.78,0.26,550,175,-1.67
blocked,61,71,26.78,0.26,534,2042,-1.79
blocked,61,72,26.78,0.26,528,141,-1.61
blocked,61,73,26.78,0.26,550,125,-1.61
blocked,61,74,26.78,0.26,584,141,-1.72
